,title,originallink,link,description,pubDate
41,"결혼 앞둔 김연아, 고혹미 폭발 화보와 인터뷰",https://www.yeongnam.com/web/view.php?key=20220816001145151,https://www.yeongnam.com/web/view.php?key=20220816001145151,10월 결혼을 앞둔 &apos;피겨여왕&apos; <b>김연아</b>의 화보와 인터뷰가 공개됐다.16일 패션 매거진 엘르는 9월호 커버를 장식한 <b>김연아</b>와 그룹 엑소 멤버 세훈의 화보 및 인터뷰를 공개했다.  디올 앰배서더로 활동하고 있는 두 사람은... ,"Tue, 16 Aug 2022 11:58:00 +0900"
42,박명수 “김연아 의미…이름만 들어도 기분 좋은 스타”(라디오쇼),https://www.newsen.com/news_view.php?uid=202208161029472110,https://n.news.naver.com/mnews/article/609/0000615735?sid=106,"박명수가 <b>김연아</b>에 대해 이야기했다. 8월 16일 방송된 KBS 쿨FM &apos;박명수의 라디오쇼&apos;에서는 김태진과 함께하는 &apos;모발모발 퀴즈쇼&apos;가 진행됐다. 이날 한 청취자는 <b>김연아</b>를 사칭, 퀴즈에 도전했다. 해당 코너에서는 특정... ","Tue, 16 Aug 2022 11:50:00 +0900"
43,"'10월 결혼' 김연아 ""서른 넘고, 새로운 인생 또 시작된다는 느낌 들어""",https://star.ytn.co.kr/_sn/0117_202208161136374435,https://n.news.naver.com/mnews/article/052/0001777268?sid=106,&apos;피겨 여왕&apos; <b>김연아</b> 씨가 10월 결혼을 앞두고 드레스 자태를 공개했다. 또 인생의 분기점에 대해서도 언급했다. <b>김연아</b> 씨는 &apos;엑소&apos; 세훈 씨와 함께 패션매거진 &apos;엘르&apos;의 9월호 커버를 장식했다. 럭셔리 브랜드 디올... ,"Tue, 16 Aug 2022 11:36:00 +0900"
44,"김연아, 드레스 입고 화보 찍었네 …고혹적인 예비신부",,https://n.news.naver.com/mnews/article/415/0000012245?sid=106,"결혼을 앞둔 <b>김연아</b>의 새 화보가 공개됐다. 공개된 커버 속 <b>김연아</b>는 럭셔리한 주얼리와 화려한 드레스 의상을 완벽하게 소화했다. 백옥같이 하얀 피부와 늘씬한 몸선, 우아하면서도 아름다운 비주얼이 눈길을... ","Tue, 16 Aug 2022 11:09:00 +0900"
45,"'예비신부' 김연아 ""새로운 챕터 시작되는 느낌"" [화보]",http://www.tvdaily.co.kr/read.php3?aid=16606151201649874002,http://www.tvdaily.co.kr/read.php3?aid=16606151201649874002,배우 <b>김연아</b>가 새로운 챕터를 맞는 소감을 밝혔다. <b>김연아</b>와 엑소 세훈은 최근 한 패션 매거진의 9월호 커버를 장식했다. 공개된 커버 속 <b>김연아</b>는 우아하고도 아름다운 여인의 모습으로 눈길을 끈다. 또한 세훈은 프랑스... ,"Tue, 16 Aug 2022 11:02:00 +0900"
46,"[★화보] 김연아, 범접불가 아우라 '여왕의 품격'",http://moneys.mt.co.kr/news/mwView.php?no=2022081610390110524,https://n.news.naver.com/mnews/article/417/0000843028?sid=106,&apos;피겨여왕&apos; <b>김연아</b>가 패션 매거진 엘르 9월호 커버를 장식했다. 공개된 커버 속 <b>김연아</b>는 디올 파인 주얼리의 &apos;라 로즈 디올(LA ROSE DIOR)&apos;컬렉션 주얼리와 새로운 디올 FW22컬렉션 의상을 완벽하게 소화하는 동시에... ,"Tue, 16 Aug 2022 11:00:00 +0900"
47,"김연아, ♥고우림과 결혼 앞두고 ""새로운 인생 시작되는 느낌""",https://www.spotvnews.co.kr/news/articleView.html?idxno=543025,https://n.news.naver.com/mnews/article/477/0000376459?sid=106,&apos;피겨 여왕&apos; <b>김연아</b>가 매거진 엘르 9월호 커버를 장식했다. 16일 패션 매거진 엘르는 <b>김연아</b>와 함께한 화보와 인터뷰를 공개했다. 디올 앰배서더로 활동 중인 그는 이번 화보를 통해 우아하고 고혹적인 매력을 발산했다.... ,"Tue, 16 Aug 2022 10:47:00 +0900"
48,"'예비 신부' 김연아, 드레스 자태 역시 곱네! 인간 관계는 ""원래 가까웠던 사...",http://sports.chosun.com/news/ntype.htm?id=202208170100110940006779&servicedate=20220816,https://n.news.naver.com/mnews/article/076/0003905154?sid=106,드레스 입은 <b>김연아</b>는 역시 &apos;여느님&apos;이다. 10월 결혼을 앞둔 <b>김연아</b>가 최근 패션매거진 엘르와 화보에서 고혹적인 드레스 자태를 공개했다. <b>김연아</b>는 화보 촬영 후 인터뷰에서 &quot;한국 나이로 일곱 살 때부터 선수 생활을... ,"Tue, 16 Aug 2022 10:43:00 +0900"
49,"디올 앰배서더 김연아와 세훈, '엘르' 9월호 커버 장식",http://zine.istyle24.com/Fashion/FashionView.aspx?Idx=59884&Menu=12&_C_=23069,http://zine.istyle24.com/Fashion/FashionView.aspx?Idx=59884&Menu=12&_C_=23069,▲ 사진 제공= ⓒ 엘르 <b>김연아</b>와 엑소 세훈이 패션 매거진 &lt;엘르&gt; 9월호 커버를 장식했다. 디올... 공개된 커버 속 <b>김연아</b>는 디올 파인 주얼리의 ‘라 로즈 디올(LA ROSE DIOR)’컬렉션 주얼리와 새로운... ,"Tue, 16 Aug 2022 10:40:00 +0900"
50,"결혼 앞둔 김연아, 엑소 세훈과 커버 장식! 각기 다른 우아한 매력",http://www.fashionn.com/board/read_new.php?table=1024&number=42546,http://www.fashionn.com/board/read_new.php?table=1024&number=42546,&apos;피겨여왕&apos; <b>김연아</b>가 16일 화보를 공개했다. <b>김연아</b>와 엑소 세훈이 패션 매거진 &lt;엘르&gt; 9월호 커버를 장식했다. 디올 앰배서더로 각자 매력을 선보이고 있는 두 사람은 이번 화보에서도 서로 다른 공간과 콘셉트를... ,"Tue, 16 Aug 2022 10:40:00 +0900"
51,"10월 결혼 김연아 ""새 인생 시작되는 느낌""",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=674467,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=674467, 고우림과 결혼을 앞둔 &apos;피겨퀸&apos; <b>김연아</b>가 패션 매거진 &apos;엘르&apos; 9월호 커버를 장식했다. 엘르는 16일 <b>김연아</b>와 그룹 엑소 멤버 세훈의 커버 화보를 공개했다. 디올 앰배서더로 활동하고 있는 <b>김연아</b>와 세훈은 각자 포즈를... ,"Tue, 16 Aug 2022 10:40:00 +0900"
